Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
add_Apartment,Chrome 137.0.7151.70,,,14-06-2025 20:27:30,14-06-2025 20:28:51,1m - 21.144s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:27:31,14-06-2025 20:27:40,8.547s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:27:32,14-06-2025 20:27:37,5.090s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:27:37,14-06-2025 20:27:37,0.114s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:27:37,14-06-2025 20:27:38,0.883s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:27:38,14-06-2025 20:27:39,0.610s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:39,14-06-2025 20:27:39,0.357s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:27:39,14-06-2025 20:27:40,0.690s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:27:40,14-06-2025 20:27:50,10.751s,PASSED
"DATA BINDING - {""residentName"":""Mai Kuraki"",""numberOfApartme..."":""101"",""status"":""available""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:27:40,14-06-2025 20:27:43,3.479s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:27:43,14-06-2025 20:27:43,0.074s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:43,14-06-2025 20:27:44,0.565s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:44,14-06-2025 20:27:45,0.606s,PASSED
"setText(findTestObject(""apartment/add/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:27:45,14-06-2025 20:27:46,1.030s,PASSED
"click(findTestObject(""apartment/add/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:46,14-06-2025 20:27:46,0.346s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:27:46,14-06-2025 20:27:47,0.603s,PASSED
"click(findTestObject(""apartment/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:47,14-06-2025 20:27:47,0.347s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:27:47,14-06-2025 20:27:47,0.563s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:47,14-06-2025 20:27:48,0.337s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:27:48,14-06-2025 20:27:48,0.068s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert add success: ""Apartment added successfully!""",,14-06-2025 20:27:48,14-06-2025 20:27:48,0.029s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:27:48,14-06-2025 20:27:48,0.034s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:27:48,14-06-2025 20:27:50,2.061s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:27:50,14-06-2025 20:27:50,0.451s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:27:51,14-06-2025 20:28:00,9.648s,PASSED
"DATA BINDING - {""residentName"":""Huy Cao"",""numberOfApartme..."":""209"",""status"":""inAvailable""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:27:51,14-06-2025 20:27:53,2.794s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:27:53,14-06-2025 20:27:53,0.098s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:53,14-06-2025 20:27:54,0.663s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:54,14-06-2025 20:27:55,0.544s,PASSED
"setText(findTestObject(""apartment/add/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:27:55,14-06-2025 20:27:55,0.820s,PASSED
"click(findTestObject(""apartment/add/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:55,14-06-2025 20:27:56,0.341s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:27:56,14-06-2025 20:27:56,0.588s,PASSED
"click(findTestObject(""apartment/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:56,14-06-2025 20:27:57,0.342s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:27:57,14-06-2025 20:27:57,0.546s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:27:57,14-06-2025 20:27:58,0.317s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:27:58,14-06-2025 20:27:58,0.026s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert add success: ""Apartment added successfully!""",,14-06-2025 20:27:58,14-06-2025 20:27:58,0.011s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:27:58,14-06-2025 20:27:58,0.022s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:27:58,14-06-2025 20:28:00,2.014s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:28:00,14-06-2025 20:28:00,0.492s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:28:00,14-06-2025 20:28:10,9.946s,PASSED
"DATA BINDING - {""residentName"":""Khang Hoài"",""numberOfApartme..."":""305"",""status"":""available""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:28:00,14-06-2025 20:28:03,3.108s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:28:03,14-06-2025 20:28:03,0.096s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:03,14-06-2025 20:28:04,0.547s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:04,14-06-2025 20:28:05,0.553s,PASSED
"setText(findTestObject(""apartment/add/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:28:05,14-06-2025 20:28:05,0.907s,PASSED
"click(findTestObject(""apartment/add/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:05,14-06-2025 20:28:06,0.369s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:06,14-06-2025 20:28:06,0.591s,PASSED
"click(findTestObject(""apartment/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:06,14-06-2025 20:28:07,0.330s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:07,14-06-2025 20:28:07,0.547s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:07,14-06-2025 20:28:08,0.329s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:08,14-06-2025 20:28:08,0.037s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert add success: ""Apartment added successfully!""",,14-06-2025 20:28:08,14-06-2025 20:28:08,0.019s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:28:08,14-06-2025 20:28:08,0.021s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:08,14-06-2025 20:28:10,2.008s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:28:10,14-06-2025 20:28:10,0.455s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_required,Chrome 137.0.7151.70,,,14-06-2025 20:28:10,14-06-2025 20:28:20,10.149s,PASSED
"DATA BINDING - {""(Default) resid..."":"""",""(Default) numbe..."":"""",""(Default) statu..."":""""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:28:10,14-06-2025 20:28:13,2.858s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:28:13,14-06-2025 20:28:13,0.099s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:13,14-06-2025 20:28:14,0.535s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:14,14-06-2025 20:28:14,0.541s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:14,14-06-2025 20:28:15,0.567s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:15,14-06-2025 20:28:17,2.019s,PASSED
"verifyElementText(findTestObject(""apartment/add/requiredNumOfApart""), ""Number of apartment is required."")",Chrome 137.0.7151.70,,,14-06-2025 20:28:17,14-06-2025 20:28:17,0.330s,PASSED
"verifyElementText(findTestObject(""apartment/add/requiredStatus""), ""Status is required."")",Chrome 137.0.7151.70,,,14-06-2025 20:28:17,14-06-2025 20:28:18,0.274s,PASSED
"verifyElementText(findTestObject(""apartment/add/requiredResident""), ""Resident name is required."")",Chrome 137.0.7151.70,,,14-06-2025 20:28:18,14-06-2025 20:28:18,0.273s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:18,14-06-2025 20:28:20,2.019s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:28:20,14-06-2025 20:28:20,0.501s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_fail,Chrome 137.0.7151.70,,,14-06-2025 20:28:20,14-06-2025 20:28:31,10.383s,PASSED
"DATA BINDING - {""residentName"":""Mai Kuraki"",""numberOfApartme..."":""101"",""status"":""available""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:28:20,14-06-2025 20:28:24,3.405s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:28:24,14-06-2025 20:28:24,0.110s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:24,14-06-2025 20:28:24,0.436s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:24,14-06-2025 20:28:25,0.696s,PASSED
"setText(findTestObject(""apartment/add/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:28:25,14-06-2025 20:28:26,0.932s,PASSED
"click(findTestObject(""apartment/add/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:26,14-06-2025 20:28:26,0.371s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:26,14-06-2025 20:28:27,0.553s,PASSED
"click(findTestObject(""apartment/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:27,14-06-2025 20:28:27,0.338s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:27,14-06-2025 20:28:28,0.530s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:28,14-06-2025 20:28:28,0.323s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:28,14-06-2025 20:28:28,0.033s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert add fail: ""Error adding apartment. Please try again.""",,14-06-2025 20:28:28,14-06-2025 20:28:28,0.010s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:28:28,14-06-2025 20:28:28,0.015s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:28,14-06-2025 20:28:30,2.014s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:28:30,14-06-2025 20:28:31,0.486s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_fail,Chrome 137.0.7151.70,,,14-06-2025 20:28:31,14-06-2025 20:28:40,9.712s,PASSED
"DATA BINDING - {""residentName"":""Khang Hoài"",""numberOfApartme..."":""209"",""status"":""inAvailable""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:28:31,14-06-2025 20:28:34,2.810s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:28:34,14-06-2025 20:28:34,0.181s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:34,14-06-2025 20:28:34,0.451s,PASSED
"click(findTestObject(""apartment/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:34,14-06-2025 20:28:35,0.650s,PASSED
"setText(findTestObject(""apartment/add/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:28:35,14-06-2025 20:28:36,0.876s,PASSED
"click(findTestObject(""apartment/add/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:36,14-06-2025 20:28:36,0.331s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:36,14-06-2025 20:28:37,0.562s,PASSED
"click(findTestObject(""apartment/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:37,14-06-2025 20:28:37,0.341s,PASSED
"selectOptionByValue(findTestObject(""apartment/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:28:37,14-06-2025 20:28:38,0.589s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:28:38,14-06-2025 20:28:38,0.329s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:38,14-06-2025 20:28:38,0.024s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert add fail: ""Error adding apartment. Please try again.""",,14-06-2025 20:28:38,14-06-2025 20:28:38,0.010s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:28:38,14-06-2025 20:28:38,0.020s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:28:38,14-06-2025 20:28:40,2.008s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:28:40,14-06-2025 20:28:40,0.505s,PASSED
,,,,,,,
Test Cases/apartment/add/apartment_add_fail,Chrome 137.0.7151.70,,,14-06-2025 20:28:40,14-06-2025 20:28:51,10.764s,PASSED
