Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delete_Apartment,Chrome 137.0.7151.70,,,14-06-2025 20:38:00,14-06-2025 20:38:18,17.178s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:38:01,14-06-2025 20:38:09,7.615s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:38:02,14-06-2025 20:38:06,3.659s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:38:06,14-06-2025 20:38:06,0.126s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:38:06,14-06-2025 20:38:07,1.088s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:38:07,14-06-2025 20:38:08,0.726s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:38:08,14-06-2025 20:38:08,0.474s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:38:08,14-06-2025 20:38:09,0.751s,PASSED
,,,,,,,
Test Cases/apartment/delete/apartment_delete,Chrome 137.0.7151.70,,,14-06-2025 20:38:09,14-06-2025 20:38:18,8.679s,PASSED
"DATA BINDING - {""(Default) dob"":"""",""(Default) hoten"":"""",""(Default) gende..."":"""",""(Default) cccd"":"""",""(Default) workT..."":"""",""(Default) phone"":"""",""(Default) posti..."":""""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:38:09,14-06-2025 20:38:13,4.126s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:38:13,14-06-2025 20:38:13,0.134s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:38:13,14-06-2025 20:38:14,0.548s,PASSED
"click(findTestObject(""apartment/delete/btnDel""))",Chrome 137.0.7151.70,,,14-06-2025 20:38:14,14-06-2025 20:38:15,0.753s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:38:15,14-06-2025 20:38:15,0.113s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert: ""Are you sure you want to delete this apartment?""",,14-06-2025 20:38:15,14-06-2025 20:38:15,0.061s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:38:15,14-06-2025 20:38:15,0.052s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:38:15,14-06-2025 20:38:17,2.116s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:38:17,14-06-2025 20:38:18,0.592s,PASSED
