Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
edit_Apartment,Chrome 137.0.7151.70,,,14-06-2025 20:35:45,14-06-2025 20:36:35,49.717s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:35:46,14-06-2025 20:35:53,7.285s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:35:46,14-06-2025 20:35:50,3.827s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:35:50,14-06-2025 20:35:50,0.140s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:35:50,14-06-2025 20:35:51,0.983s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:35:51,14-06-2025 20:35:52,0.615s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:35:52,14-06-2025 20:35:52,0.395s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:35:52,14-06-2025 20:35:53,0.724s,PASSED
,,,,,,,
Test Cases/apartment/edit/apartment_edit_success,Chrome 137.0.7151.70,,,14-06-2025 20:35:53,14-06-2025 20:36:04,10.656s,PASSED
"DATA BINDING - {""residentName"":""Mai Kuraki"",""numberOfApartme..."":""201"",""status"":""inAvailable""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:35:53,14-06-2025 20:35:57,3.346s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:35:57,14-06-2025 20:35:57,0.075s,PASSED
"click(findTestObject(""apartment/add/btn_manageAparment""))",Chrome 137.0.7151.70,,,14-06-2025 20:35:57,14-06-2025 20:35:57,0.582s,PASSED
"click(findTestObject(""apartment/edit/btnEdit""))",Chrome 137.0.7151.70,,,14-06-2025 20:35:57,14-06-2025 20:35:58,0.541s,PASSED
"setText(findTestObject(""apartment/edit/txtNumberOfApart""), numberOfApartment)",Chrome 137.0.7151.70,,,14-06-2025 20:35:58,14-06-2025 20:35:59,0.874s,PASSED
"click(findTestObject(""apartment/edit/selectStatus""))",Chrome 137.0.7151.70,,,14-06-2025 20:35:59,14-06-2025 20:35:59,0.400s,PASSED
"selectOptionByValue(findTestObject(""apartment/edit/selectStatus""), status, false)",Chrome 137.0.7151.70,,,14-06-2025 20:35:59,14-06-2025 20:36:00,0.623s,PASSED
"click(findTestObject(""apartment/edit/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:36:00,14-06-2025 20:36:00,0.349s,PASSED
"selectOptionByValue(findTestObject(""apartment/edit/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:36:00,14-06-2025 20:36:01,0.559s,PASSED
"click(findTestObject(""apartment/add/btnSubmit""))",Chrome 137.0.7151.70,,,14-06-2025 20:36:01,14-06-2025 20:36:01,0.369s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:36:01,14-06-2025 20:36:01,0.070s,PASSED
