Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
add_Bill,Chrome 137.0.7151.70,,,14-06-2025 20:46:11,14-06-2025 20:47:01,50.401s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:46:12,14-06-2025 20:46:20,8.689s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:46:12,14-06-2025 20:46:17,4.639s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:46:17,14-06-2025 20:46:17,0.167s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:46:17,14-06-2025 20:46:18,1.154s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:46:18,14-06-2025 20:46:19,0.822s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:46:19,14-06-2025 20:46:20,0.501s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:46:20,14-06-2025 20:46:20,0.779s,PASSED
,,,,,,,
Test Cases/bill/add/bill_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:46:21,14-06-2025 20:46:36,14.957s,PASSED
"DATA BINDING - {""date"":""6/10/2025"",""toiletMoney"":""20000"",""numWater"":""11"",""residentName"":""Khang Hoài"",""numberOfApartme..."":""101"",""numElec"":""59"",""status"":""Pay""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:46:21,14-06-2025 20:46:25,4.427s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:46:25,14-06-2025 20:46:25,0.156s,PASSED
"click(findTestObject(""bill/add/btn_manageBill""))",Chrome 137.0.7151.70,,,14-06-2025 20:46:25,14-06-2025 20:46:26,0.520s,PASSED
"click(findTestObject(""bill/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:46:26,14-06-2025 20:46:27,0.695s,PASSED
"click(findTestObject(""bill/add/selectNumOfApart""))",Chrome 137.0.7151.70,,,14-06-2025 20:46:27,14-06-2025 20:46:27,0.766s,PASSED
"selectOptionByValue(findTestObject(""bill/add/selectNumOfApart""), numberOfApartment, false)",Chrome 137.0.7151.70,,,14-06-2025 20:46:27,14-06-2025 20:46:28,0.617s,PASSED
"click(findTestObject(""bill/add/selectResident""))",Chrome 137.0.7151.70,,,14-06-2025 20:46:28,14-06-2025 20:46:28,0.349s,PASSED
"selectOptionByValue(findTestObject(""bill/add/selectResident""), residentName, false)",Chrome 137.0.7151.70,,,14-06-2025 20:46:28,14-06-2025 20:46:29,0.571s,PASSED
"setText(findTestObject(""bill/add/txtDate""), date)",Chrome 137.0.7151.70,,,14-06-2025 20:46:29,14-06-2025 20:46:30,0.648s,PASSED
"setText(findTestObject(""bill/add/txtNumElec""), numElec)",Chrome 137.0.7151.70,,,14-06-2025 20:46:30,14-06-2025 20:46:30,0.625s,PASSED
