Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
edit_Bill,Chrome 137.0.7151.70,,,14-06-2025 20:50:20,14-06-2025 20:51:01,41.394s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:50:21,14-06-2025 20:50:32,11.561s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:50:22,14-06-2025 20:50:29,7.304s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:50:29,14-06-2025 20:50:29,0.291s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:50:29,14-06-2025 20:50:30,1.237s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:50:30,14-06-2025 20:50:31,0.600s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:50:31,14-06-2025 20:50:32,0.514s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:50:32,14-06-2025 20:50:32,0.830s,PASSED
,,,,,,,
Test Cases/bill/edit/bill_edit_success,Chrome 137.0.7151.70,,,14-06-2025 20:50:33,14-06-2025 20:50:47,14.300s,PASSED
"DATA BINDING - {""date"":""15/3/2024"",""toiletMoney"":""20000"",""numWater"":""5"",""residentName"":""Khang Hoài"",""numberOfApartme..."":""101"",""numElec"":""19"",""status"":""NotPaid""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:50:33,14-06-2025 20:50:37,3.739s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:50:37,14-06-2025 20:50:37,0.091s,PASSED
"click(findTestObject(""bill/add/btn_manageBill""))",Chrome 137.0.7151.70,,,14-06-2025 20:50:37,14-06-2025 20:50:37,0.441s,PASSED
"click(findTestObject(""bill/edit/btnEdit""))",Chrome 137.0.7151.70,,,14-06-2025 20:50:37,14-06-2025 20:50:38,0.660s,PASSED
"click(findTestObject(""bill/edit/selectNumOfApart""))",Chrome 137.0.7151.70,,,14-06-2025 20:50:38,14-06-2025 20:50:39,0.693s,PASSED
"selectOptionByValue(findTestObject(""bill/edit/selectNumOfApart""), numberOfApartment, false)",Chrome 137.0.7151.70,,,14-06-2025 20:50:39,14-06-2025 20:50:39,0.656s,PASSED
