Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
add_Employee,Chrome 137.0.7151.70,,,14-06-2025 20:39:00,14-06-2025 20:40:31,1m - 31.472s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:39:01,14-06-2025 20:39:08,6.960s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:39:01,14-06-2025 20:39:05,3.632s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:39:05,14-06-2025 20:39:05,0.105s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:39:05,14-06-2025 20:39:06,0.886s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:39:06,14-06-2025 20:39:06,0.643s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:39:06,14-06-2025 20:39:07,0.353s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:39:07,14-06-2025 20:39:07,0.686s,PASSED
,,,,,,,
Test Cases/employee/add/employee_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:39:08,14-06-2025 20:39:21,12.931s,PASSED
"DATA BINDING - {""gender"":""female"",""phone"":""0159315748"",""dob"":""15/06/1979"",""postion"":""cleaner"",""hoten"":""Nhân viên A"",""workTime"":""8h - 16h"",""cccd"":""2251190071""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:39:08,14-06-2025 20:39:11,3.513s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:39:11,14-06-2025 20:39:11,0.087s,PASSED
"click(findTestObject(""employee/addEmployee/btn_manageEmployee""))",Chrome 137.0.7151.70,,,14-06-2025 20:39:11,14-06-2025 20:39:12,0.536s,PASSED
"click(findTestObject(""employee/addEmployee/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:39:12,14-06-2025 20:39:13,0.594s,PASSED
"setText(findTestObject(""employee/addEmployee/txtName""), hoten)",Chrome 137.0.7151.70,,,14-06-2025 20:39:13,14-06-2025 20:39:13,0.826s,PASSED
"click(findTestObject(""employee/addEmployee/selectGender""))",Chrome 137.0.7151.70,,,14-06-2025 20:39:13,14-06-2025 20:39:14,0.415s,PASSED
"selectOptionByValue(findTestObject(""employee/addEmployee/selectGender""), gender, false)",Chrome 137.0.7151.70,,,14-06-2025 20:39:14,14-06-2025 20:39:14,0.609s,PASSED
"setText(findTestObject(""employee/addEmployee/txtDOB""), dob)",Chrome 137.0.7151.70,,,14-06-2025 20:39:14,14-06-2025 20:39:15,0.557s,PASSED
"setText(findTestObject(""employee/addEmployee/txtCCCD""), cccd)",Chrome 137.0.7151.70,,,14-06-2025 20:39:15,14-06-2025 20:39:16,0.568s,PASSED
"setText(findTestObject(""employee/addEmployee/txtPhoneNumber""), phone)",Chrome 137.0.7151.70,,,14-06-2025 20:39:16,14-06-2025 20:39:16,0.570s,PASSED
