Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
add_Report,Chrome 137.0.7151.70,,,14-06-2025 20:53:45,14-06-2025 20:54:31,45.635s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:53:47,14-06-2025 20:53:57,10.695s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:53:48,14-06-2025 20:53:54,6.559s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:53:54,14-06-2025 20:53:55,0.506s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:53:55,14-06-2025 20:53:56,0.992s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:53:56,14-06-2025 20:53:56,0.675s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:53:56,14-06-2025 20:53:57,0.417s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:53:57,14-06-2025 20:53:57,0.714s,PASSED
,,,,,,,
Test Cases/report/add/report_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:53:58,14-06-2025 20:54:09,11.583s,PASSED
"DATA BINDING - {""date"":""12/12/2024"",""nameReport"":""Báo cáo tháng 12"",""content"":""Cuối năm các hộ hoạt động bình thường""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:53:58,14-06-2025 20:54:02,3.842s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:54:02,14-06-2025 20:54:02,0.177s,PASSED
"click(findTestObject(""report/add/btn_manageReport""))",Chrome 137.0.7151.70,,,14-06-2025 20:54:02,14-06-2025 20:54:02,0.753s,PASSED
"click(findTestObject(""report/add/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:54:02,14-06-2025 20:54:03,0.505s,PASSED
"setText(findTestObject(""report/add/txtName""), nameReport)",Chrome 137.0.7151.70,,,14-06-2025 20:54:03,14-06-2025 20:54:04,1.011s,PASSED
"setText(findTestObject(""report/add/txtDate""), date)",Chrome 137.0.7151.70,,,14-06-2025 20:54:04,14-06-2025 20:54:05,0.624s,PASSED
