Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
detail_delete_Report,Chrome 137.0.7151.70,,,14-06-2025 20:59:03,14-06-2025 20:59:28,24.664s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:59:04,14-06-2025 20:59:13,8.902s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:59:05,14-06-2025 20:59:10,4.884s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:59:10,14-06-2025 20:59:11,0.232s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:59:11,14-06-2025 20:59:12,1.047s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:59:12,14-06-2025 20:59:12,0.623s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:59:12,14-06-2025 20:59:13,0.378s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:59:13,14-06-2025 20:59:13,0.717s,PASSED
,,,,,,,
Test Cases/report/detail/report_detail,Chrome 137.0.7151.70,,,14-06-2025 20:59:13,14-06-2025 20:59:21,7.437s,PASSED
"DATA BINDING - {""(Default) date"":"""",""(Default) resid..."":"""",""(Default) numbe..."":"""",""(Default) statu..."":"""",""(Default) numEl..."":"""",""(Default) toile..."":"""",""(Default) numWa..."":""""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:59:13,14-06-2025 20:59:17,3.500s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:59:17,14-06-2025 20:59:17,0.090s,PASSED
"click(findTestObject(""report/add/btn_manageReport""))",Chrome 137.0.7151.70,,,14-06-2025 20:59:17,14-06-2025 20:59:18,0.628s,PASSED
"click(findTestObject(""report/delete_detail/btnDetail""))",Chrome 137.0.7151.70,,,14-06-2025 20:59:18,14-06-2025 20:59:18,0.547s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:59:18,14-06-2025 20:59:20,2.076s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:59:20,14-06-2025 20:59:21,0.472s,PASSED
,,,,,,,
Test Cases/report/delete/report_delete,Chrome 137.0.7151.70,,,14-06-2025 20:59:21,14-06-2025 20:59:28,7.119s,PASSED
"DATA BINDING - {""(Default) date"":"""",""(Default) resid..."":"""",""(Default) numbe..."":"""",""(Default) statu..."":"""",""(Default) numEl..."":"""",""(Default) toile..."":"""",""(Default) numWa..."":""""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:59:21,14-06-2025 20:59:24,3.109s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:59:24,14-06-2025 20:59:24,0.093s,PASSED
"click(findTestObject(""report/add/btn_manageReport""))",Chrome 137.0.7151.70,,,14-06-2025 20:59:24,14-06-2025 20:59:25,0.630s,PASSED
"click(findTestObject(""report/delete_detail/btnDel""))",Chrome 137.0.7151.70,,,14-06-2025 20:59:25,14-06-2025 20:59:25,0.479s,PASSED
waitForAlert(2),Chrome 137.0.7151.70,,,14-06-2025 20:59:25,14-06-2025 20:59:25,0.063s,PASSED
verifyAlertPresent(2),Chrome 137.0.7151.70,"Show alert: ""Are you sure you want to delete this report?""",,14-06-2025 20:59:25,14-06-2025 20:59:25,0.033s,PASSED
acceptAlert(),Chrome 137.0.7151.70,,,14-06-2025 20:59:25,14-06-2025 20:59:25,0.037s,PASSED
delay(2),Chrome 137.0.7151.70,,,14-06-2025 20:59:25,14-06-2025 20:59:27,2.018s,PASSED
closeBrowser(),Chrome 137.0.7151.70,,,14-06-2025 20:59:27,14-06-2025 20:59:28,0.563s,PASSED
