Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
add_Resident,Chrome 137.0.7151.70,,,14-06-2025 20:01:53,14-06-2025 20:03:24,1m - 31.865s,PASSED
,,,,,,,
Test Cases/login/login_success,Chrome 137.0.7151.70,,,14-06-2025 20:01:54,14-06-2025 20:02:02,8.273s,PASSED
"DATA BINDING - {""password"":""123123zzz"",""expectedMsg"":""userHuy1"",""username"":""userHuy1""}",,,,,,,
"openBrowser(""http://localhost:4200/login"")",Chrome 137.0.7151.70,,,14-06-2025 20:01:54,14-06-2025 20:01:59,4.529s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:01:59,14-06-2025 20:01:59,0.321s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Username""), username)",Chrome 137.0.7151.70,Input username,,14-06-2025 20:01:59,14-06-2025 20:02:00,1.047s,PASSED
"setText(findTestObject(""login/Page_Mantis Angular Dashboard Template/input_Password""), password)",Chrome 137.0.7151.70,Input password,,14-06-2025 20:02:00,14-06-2025 20:02:01,0.607s,PASSED
"click(findTestObject(""login/Page_Mantis Angular Dashboard Template/button_Login""))",Chrome 137.0.7151.70,,,14-06-2025 20:02:01,14-06-2025 20:02:01,0.362s,PASSED
"verifyTextPresent(expectedMsg, false)",Chrome 137.0.7151.70,Verify username,,14-06-2025 20:02:01,14-06-2025 20:02:02,0.653s,PASSED
,,,,,,,
Test Cases/resident/add/resident_add_success,Chrome 137.0.7151.70,,,14-06-2025 20:02:02,14-06-2025 20:02:13,11.244s,PASSED
"DATA BINDING - {""gender"":""male"",""phone"":""0147258963"",""dob"":""15/06/2003"",""hoten"":""Huy Cao"",""cccd"":""1472583691""}",,,,,,,
"openBrowser(""http://localhost:4200/manage-resident"")",Chrome 137.0.7151.70,,,14-06-2025 20:02:02,14-06-2025 20:02:06,3.638s,PASSED
maximizeWindow(),Chrome 137.0.7151.70,,,14-06-2025 20:02:06,14-06-2025 20:02:06,0.080s,PASSED
"click(findTestObject(""resident/manageHome/btnAdd""))",Chrome 137.0.7151.70,,,14-06-2025 20:02:06,14-06-2025 20:02:06,0.490s,PASSED
"setText(findTestObject(""resident/addResident/txtName""), hoten)",Chrome 137.0.7151.70,,,14-06-2025 20:02:06,14-06-2025 20:02:07,1.020s,PASSED
"click(findTestObject(""resident/addResident/selectGender""))",Chrome 137.0.7151.70,,,14-06-2025 20:02:07,14-06-2025 20:02:08,0.408s,PASSED
"selectOptionByValue(findTestObject(""resident/addResident/selectGender""), gender, false)",Chrome 137.0.7151.70,,,14-06-2025 20:02:08,14-06-2025 20:02:09,0.775s,PASSED
"setText(findTestObject(""resident/addResident/txtDOB""), dob)",Chrome 137.0.7151.70,,,14-06-2025 20:02:09,14-06-2025 20:02:09,0.634s,PASSED
"setText(findTestObject(""resident/addResident/txtCCCD""), cccd)",Chrome 137.0.7151.70,,,14-06-2025 20:02:09,14-06-2025 20:02:10,0.674s,PASSED
"setText(findTestObject(""resident/addResident/txtPhoneNumber""), phone)",Chrome 137.0.7151.70,,,14-06-2025 20:02:10,14-06-2025 20:02:11,0.702s,PASSED
